"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Asian Openbill","Anastomus oscitans","Asian Openbill"
"Black Stork","Ciconia nigra","Black Stork"
"Asian Woolly-necked Stork","Ciconia episcopus","Asian Woolly-necked Stork"
"White Stork","Ciconia ciconia","White Stork"
"Black-necked Stork","Ephippiorhynchus asiaticus","Black-necked Stork"
"Lesser Adjutant","Leptoptilos javanicus","Lesser Adjutant"
"Greater Adjutant","Leptoptilos dubius","Greater Adjutant"
"Painted Stork","Mycteria leucocephala","Painted Stork"
"Lesser Frigatebird","Fregata ariel","Lesser Frigatebird"
"Christmas Island Frigatebird","Fregata andrewsi","Christmas Island Frigatebird"
"Great Frigatebird","Fregata minor","Great Frigatebird"
"Masked Booby","Sula dactylatra","Masked Booby"
"Brown Booby","Sula leucogaster","Brown Booby"
"Red-footed Booby","Sula sula","Red-footed Booby"
"Oriental Darter","Anhinga melanogaster","Oriental Darter"
"Little Cormorant","Microcarbo niger","Little Cormorant"
"Great Cormorant","Phalacrocorax carbo","Great Cormorant"
"Indian Cormorant","Phalacrocorax fuscicollis","Indian Cormorant (Indian Shag)"
"Great White Pelican","Pelecanus onocrotalus","Great White Pelican (Rosy Pelican)"
"Spot-billed Pelican","Pelecanus philippensis","Spot-billed Pelican"
"Dalmatian Pelican","Pelecanus crispus","Dalmatian Pelican"
"Great Bittern","Botaurus stellaris","Great Bittern"
"Yellow Bittern","Ixobrychus sinensis","Yellow Bittern"
"Little Bittern","Ixobrychus minutus","Little Bittern"
"Cinnamon Bittern","Ixobrychus cinnamomeus","Cinnamon Bittern"
"Black Bittern","Ixobrychus flavicollis","Black Bittern"
"Gray Heron","Ardea cinerea","Grey Heron"
"White-bellied Heron","Ardea insignis","White-bellied Heron"
"Goliath Heron","Ardea goliath","Goliath Heron"
"Purple Heron","Ardea purpurea","Purple Heron"
"Great Egret","Ardea alba","Great Egret"
"Medium Egret","Ardea intermedia","Intermediate Egret (Medium Egret)"
"Chinese Egret","Egretta eulophotes","Chinese Egret"
"Little Egret","Egretta garzetta","Little Egret"
"Western Reef-Heron","Egretta gularis","Western Reef-Heron (Western Reef-Egret)"
"Pacific Reef-Heron","Egretta sacra","Pacific Reef-Heron (Pacific Reef-Egret)"
"Eastern Cattle Egret","Bubulcus coromandus","Eastern Cattle Egret"
"Indian Pond-Heron","Ardeola grayii","Indian Pond-Heron"
"Chinese Pond-Heron","Ardeola bacchus","Chinese Pond-Heron"
"Javan Pond-Heron","Ardeola speciosa","Javan Pond-Heron"
"Striated Heron","Butorides striata","Striated Heron (Little Heron)"
"Black-crowned Night Heron","Nycticorax nycticorax","Black-crowned Night Heron"
"White-eared Night Heron","Oroanassa magnifica","White-eared Night Heron"
"Malayan Night Heron","Gorsachius melanolophus","Malayan Night Heron"
"Glossy Ibis","Plegadis falcinellus","Glossy Ibis"
"Black-headed Ibis","Threskiornis melanocephalus","Black-headed Ibis"
"Red-naped Ibis","Pseudibis papillosa","Red-naped Ibis (Indian Black Ibis)"
"Eurasian Spoonbill","Platalea leucorodia","Eurasian Spoonbill"
"Osprey","Pandion haliaetus","Osprey"
"Black-winged Kite","Elanus caeruleus","Black-winged Kite (Black-shouldered Kite)"
"Bearded Vulture","Gypaetus barbatus","Bearded Vulture (Lammergeier)"
"Egyptian Vulture","Neophron percnopterus","Egyptian Vulture"
"European Honey-buzzard","Pernis apivorus","European Honey-buzzard"
"Oriental Honey-buzzard","Pernis ptilorhynchus","Oriental Honey-buzzard (Crested Honey Buzzard)"
"Jerdon's Baza","Aviceda jerdoni","Jerdon's Baza"
"Black Baza","Aviceda leuphotes","Black Baza"
"Red-headed Vulture","Sarcogyps calvus","Red-headed Vulture"
"Cinereous Vulture","Aegypius monachus","Cinereous Vulture"
"White-rumped Vulture","Gyps bengalensis","White-rumped Vulture"
"Indian Vulture","Gyps indicus","Indian Vulture (Indian Long-billed Vulture)"
"Slender-billed Vulture","Gyps tenuirostris","Slender-billed Vulture (Himalayan Long-billed Vulture)"
"Himalayan Griffon","Gyps himalayensis","Himalayan Griffon (Himalayan Vulture)"
"Eurasian Griffon","Gyps fulvus","Eurasian Griffon (Griffon Vulture)"
"Nicobar Serpent-Eagle","Spilornis klossi","Nicobar Serpent-Eagle"
"Crested Serpent-Eagle","Spilornis cheela","Crested Serpent-Eagle"
"Andaman Serpent-Eagle","Spilornis elgini","Andaman Serpent-Eagle"
"Short-toed Snake-Eagle","Circaetus gallicus","Short-toed Snake-Eagle"
"Changeable Hawk-Eagle","Nisaetus cirrhatus","Changeable Hawk-Eagle"
"Mountain Hawk-Eagle","Nisaetus nipalensis","Mountain Hawk-Eagle"
"Legge's Hawk-Eagle","Nisaetus kelaarti","Legge's Hawk-Eagle"
"Rufous-bellied Eagle","Lophotriorchis kienerii","Rufous-bellied Eagle"
"Black Eagle","Ictinaetus malaiensis","Black Eagle"
"Indian Spotted Eagle","Clanga hastata","Indian Spotted Eagle"
"Greater Spotted Eagle","Clanga clanga","Greater Spotted Eagle"
"Booted Eagle","Hieraaetus pennatus","Booted Eagle"
"Tawny Eagle","Aquila rapax","Tawny Eagle"
"Steppe Eagle","Aquila nipalensis","Steppe Eagle"
"Imperial Eagle","Aquila heliaca","Imperial Eagle"
"Golden Eagle","Aquila chrysaetos","Golden Eagle"
"Bonelli's Eagle","Aquila fasciata","Bonelli's Eagle"
"White-eyed Buzzard","Butastur teesa","White-eyed Buzzard"
"Rufous-winged Buzzard","Butastur liventer","Rufous-winged Buzzard"
"Gray-faced Buzzard","Butastur indicus","Grey-faced Buzzard"
"Western Marsh Harrier","Circus aeruginosus","Western Marsh Harrier"
"Eastern Marsh Harrier","Circus spilonotus","Eastern Marsh Harrier"
"Hen Harrier","Circus cyaneus","Hen Harrier"
"Pallid Harrier","Circus macrourus","Pallid Harrier"
"Pied Harrier","Circus melanoleucos","Pied Harrier"
"Montagu's Harrier","Circus pygargus","Montagu's Harrier"
"Crested Goshawk","Accipiter trivirgatus","Crested Goshawk"
"Shikra","Accipiter badius","Shikra"
"Nicobar Sparrowhawk","Accipiter butleri","Nicobar Sparrowhawk"
"Levant Sparrowhawk","Accipiter brevipes","Levant Sparrowhawk"
"Chinese Sparrowhawk","Accipiter soloensis","Chinese Sparrowhawk"
"Japanese Sparrowhawk","Accipiter gularis","Japanese Sparrowhawk"
"Besra","Accipiter virgatus","Besra"
"Eurasian Sparrowhawk","Accipiter nisus","Eurasian Sparrowhawk"
"Eurasian Goshawk","Accipiter gentilis","Eurasian Goshawk (Northern Goshawk)"
"Red Kite","Milvus milvus","Red Kite"
"Black Kite","Milvus migrans","Black Kite"
"Brahminy Kite","Haliastur indus","Brahminy Kite"
"White-tailed Eagle","Haliaeetus albicilla","White-tailed Eagle"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus","Pallas's Fish-Eagle"
"White-bellied Sea-Eagle","Icthyophaga leucogaster","White-bellied Sea-Eagle"
"Lesser Fish-Eagle","Icthyophaga humilis","Lesser Fish-Eagle"
"Gray-headed Fish-Eagle","Icthyophaga ichthyaetus","Grey-headed Fish-Eagle"
"Rough-legged Hawk","Buteo lagopus","Rough-legged Hawk"
"Common Buzzard","Buteo buteo","Common Buzzard"
"Himalayan Buzzard","Buteo refectus","Himalayan Buzzard"
"Long-legged Buzzard","Buteo rufinus","Long-legged Buzzard"
"Upland Buzzard","Buteo hemilasius","Upland Buzzard"
"Australasian Grass-Owl","Tyto longimembris","Australasian Grass-Owl"
"Barn Owl","Tyto alba","Barn Owl"
"Andaman Masked-Owl","Tyto deroepstorffi","Andaman Masked-Owl"
"Oriental Bay-Owl","Phodilus badius","Oriental Bay-Owl"
"Sri Lanka Bay-Owl","Phodilus assimilis","Sri Lanka Bay-Owl"
"Andaman Scops-Owl","Otus balli","Andaman Scops-Owl"
"Mountain Scops-Owl","Otus spilocephalus","Mountain Scops-Owl"
"Indian Scops-Owl","Otus bakkamoena","Indian Scops-Owl (Collared Scops-Owl)"
"Collared Scops-Owl","Otus lettia","Collared Scops-Owl"
"Nicobar Scops-Owl","Otus alius","Nicobar Scops-Owl"
"Eurasian Scops-Owl","Otus scops","Eurasian Scops-Owl"
"Pallid Scops-Owl","Otus brucei","Pallid Scops-Owl"
"Oriental Scops-Owl","Otus sunia","Oriental Scops-Owl"
"Eurasian Eagle-Owl","Bubo bubo","Eurasian Eagle-Owl"
"Rock Eagle-Owl","Bubo bengalensis","Rock Eagle-Owl (Indian Eagle-Owl)"
"Spot-bellied Eagle-Owl","Ketupa nipalensis","Spot-bellied Eagle-Owl"
"Dusky Eagle-Owl","Ketupa coromanda","Dusky Eagle-Owl"
"Brown Fish-Owl","Ketupa zeylonensis","Brown Fish-Owl"
"Tawny Fish-Owl","Ketupa flavipes","Tawny Fish-Owl"
"Buffy Fish-Owl","Ketupa ketupu","Buffy Fish-Owl"
"Asian Barred Owlet","Glaucidium cuculoides","Asian Barred Owlet"
"Jungle Owlet","Glaucidium radiatum","Jungle Owlet"
"Collared Owlet","Taenioptynx brodiei","Collared Owlet"
"Spotted Owlet","Athene brama","Spotted Owlet"
"Little Owl","Athene noctua","Little Owl"
"Forest Owlet","Athene blewitti","Forest Owlet"
"Mottled Wood-Owl","Strix ocellata","Mottled Wood-Owl"
"Brown Wood-Owl","Strix leptogrammica","Brown Wood-Owl"
"Tawny Owl","Strix aluco","Tawny Owl"
"Himalayan Owl","Strix nivicolum","Himalayan Owl"
"Long-eared Owl","Asio otus","Long-eared Owl"
"Short-eared Owl","Asio flammeus","Short-eared Owl"
"Boreal Owl","Aegolius funereus","Boreal Owl"
"Andaman Boobook","Ninox affinis","Andaman Hawk-Owl"
"Brown Boobook","Ninox scutulata","Brown Hawk-Owl"
"Hume's Boobook","Ninox obscura","Hume's Hawk-Owl"
"Malabar Trogon","Harpactes fasciatus","Malabar Trogon"
"Red-headed Trogon","Harpactes erythrocephalus","Red-headed Trogon"
"Ward's Trogon","Harpactes wardi","Ward's Trogon"
"Eurasian Hoopoe","Upupa epops","Eurasian Hoopoe"
"Great Hornbill","Buceros bicornis","Great Hornbill (Great Pied Hornbill)"
"Brown Hornbill","Anorrhinus austeni","Brown Hornbill"
"Indian Gray Hornbill","Ocyceros birostris","Indian Grey Hornbill"
"Malabar Gray Hornbill","Ocyceros griseus","Malabar Grey Hornbill"
"Malabar Pied-Hornbill","Anthracoceros coronatus","Malabar Pied-Hornbill"
"Oriental Pied-Hornbill","Anthracoceros albirostris","Oriental Pied-Hornbill"
"Rufous-necked Hornbill","Aceros nipalensis","Rufous-necked Hornbill"
"Wreathed Hornbill","Rhyticeros undulatus","Wreathed Hornbill"
"Narcondam Hornbill","Rhyticeros narcondami","Narcondam Hornbill"
"Blyth's Kingfisher","Alcedo hercules","Blyth's Kingfisher"
"Common Kingfisher","Alcedo atthis","Common Kingfisher (Small Blue Kingfisher)"
"Blue-eared Kingfisher","Alcedo meninting","Blue-eared Kingfisher"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca","Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher)"
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa","Rufous-backed Dwarf-Kingfisher"
"Brown-winged Kingfisher","Pelargopsis amauroptera","Brown-winged Kingfisher"
"Stork-billed Kingfisher","Pelargopsis capensis","Stork-billed Kingfisher"
"Ruddy Kingfisher","Halcyon coromanda","Ruddy Kingfisher"
"White-throated Kingfisher","Halcyon smyrnensis","White-throated Kingfisher"
"Black-capped Kingfisher","Halcyon pileata","Black-capped Kingfisher"
"Collared Kingfisher","Todiramphus chloris","Collared Kingfisher"
"Crested Kingfisher","Megaceryle lugubris","Crested Kingfisher"
"Pied Kingfisher","Ceryle rudis","Pied Kingfisher"
"Blue-bearded Bee-eater","Nyctyornis athertoni","Blue-bearded Bee-eater"
"Asian Green Bee-eater","Merops orientalis","Asian Green Bee-eater"
"Blue-throated Bee-eater","Merops viridis","Blue-throated Bee-eater"
"Blue-cheeked Bee-eater","Merops persicus","Blue-cheeked Bee-eater"
"Blue-tailed Bee-eater","Merops philippinus","Blue-tailed Bee-eater"
"European Bee-eater","Merops apiaster","European Bee-eater"
"Chestnut-headed Bee-eater","Merops leschenaulti","Chestnut-headed Bee-eater"
"European Roller","Coracias garrulus","European Roller"
"Indian Roller","Coracias benghalensis","Indian Roller"
"Indochinese Roller","Coracias affinis","Indochinese Roller (Black-billed Roller)"
"Dollarbird","Eurystomus orientalis","Oriental Dollarbird"
"Malabar Barbet","Psilopogon malabaricus","Malabar Barbet (Crimson-throated Barbet)"
"Coppersmith Barbet","Psilopogon haemacephalus","Coppersmith Barbet"
"Blue-eared Barbet","Psilopogon cyanotis","Blue-eared Barbet"
"Great Barbet","Psilopogon virens","Great Barbet"
"Lineated Barbet","Psilopogon lineatus","Lineated Barbet"
"Brown-headed Barbet","Psilopogon zeylanicus","Brown-headed Barbet (Large Green Barbet)"
"White-cheeked Barbet","Psilopogon viridis","White-cheeked Barbet (Small Green Barbet)"
"Golden-throated Barbet","Psilopogon franklinii","Golden-throated Barbet"
"Blue-throated Barbet","Psilopogon asiaticus","Blue-throated Barbet"
"Yellow-rumped Honeyguide","Indicator xanthonotus","Yellow-rumped Honeyguide"
"Eurasian Wryneck","Jynx torquilla","Eurasian Wryneck"
"Speckled Piculet","Picumnus innominatus","Speckled Piculet"
"White-browed Piculet","Sasia ochracea","White-browed Piculet"
"Heart-spotted Woodpecker","Hemicircus canente","Heart-spotted Woodpecker"
"Brown-capped Pygmy Woodpecker","Yungipicus nanus","Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus","Grey-capped Pygmy Woodpecker"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","Yellow-crowned Woodpecker"
"Brown-fronted Woodpecker","Dendrocoptes auriceps","Brown-fronted Woodpecker"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus","Rufous-bellied Woodpecker"
"Fulvous-breasted Woodpecker","Dendrocopos macei","Fulvous-breasted Woodpecker"
"Freckle-breasted Woodpecker","Dendrocopos analis","Freckle-breasted Woodpecker (Spot-breasted Woodpecker)"
"Stripe-breasted Woodpecker","Dendrocopos atratus","Stripe-breasted Woodpecker"
"Darjeeling Woodpecker","Dendrocopos darjellensis","Darjeeling Woodpecker"
"Great Spotted Woodpecker","Dendrocopos major","Great Spotted Woodpecker"
"Himalayan Woodpecker","Dendrocopos himalayensis","Himalayan Woodpecker"
"Sind Woodpecker","Dendrocopos assimilis","Sind Woodpecker"
"Crimson-naped Woodpecker","Dryobates cathpharius","Crimson-breasted Woodpecker (Crimson-naped Woodpecker)"
"Bay Woodpecker","Blythipicus pyrrhotis","Bay Woodpecker"
"Greater Flameback","Chrysocolaptes guttacristatus","Greater Flameback"
"Malabar Flameback","Chrysocolaptes socialis","Malabar Flameback"
"White-naped Woodpecker","Chrysocolaptes festivus","White-naped Woodpecker"
"Rufous Woodpecker","Micropternus brachyurus","Rufous Woodpecker"
"Pale-headed Woodpecker","Gecinulus grantia","Pale-headed Woodpecker"
"Himalayan Flameback","Dinopium shorii","Himalayan Flameback"
"Common Flameback","Dinopium javanense","Common Flameback (Goldenbacked Three-toed Woodpecker)"
"Black-rumped Flameback","Dinopium benghalense","Black-rumped Flameback (Lesser Goldenbacked Woodpecker)"
"Lesser Yellownape","Picus chlorolophus","Lesser Yellownape"
"Streak-throated Woodpecker","Picus xanthopygaeus","Streak-throated Woodpecker"
"Scaly-bellied Woodpecker","Picus squamatus","Scaly-bellied Woodpecker"
"Gray-headed Woodpecker","Picus canus","Grey-headed Woodpecker"
"Greater Yellownape","Chrysophlegma flavinucha","Greater Yellownape"
"Great Slaty Woodpecker","Mulleripicus pulverulentus","Great Slaty Woodpecker"
"White-bellied Woodpecker","Dryocopus javensis","White-bellied Woodpecker (Great Black Woodpecker)"
"Andaman Woodpecker","Dryocopus hodgei","Andaman Woodpecker"
"Collared Falconet","Microhierax caerulescens","Collared Falconet"
"Pied Falconet","Microhierax melanoleucos","Pied Falconet"
"Lesser Kestrel","Falco naumanni","Lesser Kestrel"
"Eurasian Kestrel","Falco tinnunculus","Eurasian Kestrel (Common Kestrel)"
"Red-necked Falcon","Falco chicquera","Red-necked Falcon"
"Red-footed Falcon","Falco vespertinus",NA
"Amur Falcon","Falco amurensis","Amur Falcon"
"Merlin","Falco columbarius","Merlin"
"Eurasian Hobby","Falco subbuteo","Eurasian Hobby"
"Oriental Hobby","Falco severus","Oriental Hobby"
"Laggar Falcon","Falco jugger","Laggar Falcon"
"Saker Falcon","Falco cherrug","Saker Falcon"
"Peregrine Falcon","Falco peregrinus","Peregrine Falcon"
"Alexandrine Parakeet","Psittacula eupatria","Alexandrine Parakeet"
"Rose-ringed Parakeet","Psittacula krameri","Rose-ringed Parakeet"
"Slaty-headed Parakeet","Psittacula himalayana","Slaty-headed Parakeet"
"Gray-headed Parakeet","Psittacula finschii","Grey-headed Parakeet"
"Plum-headed Parakeet","Psittacula cyanocephala","Plum-headed Parakeet"
"Blossom-headed Parakeet","Psittacula roseata","Blossom-headed Parakeet"
"Malabar Parakeet","Psittacula columboides","Malabar Parakeet (Blue-winged Parakeet)"
"Derbyan Parakeet","Psittacula derbiana","Derbyan Parakeet"
"Red-breasted Parakeet","Psittacula alexandri","Red-breasted Parakeet"
"Nicobar Parakeet","Psittacula caniceps","Nicobar Parakeet"
"Long-tailed Parakeet","Psittacula longicauda","Long-tailed Parakeet"
"Vernal Hanging-Parrot","Loriculus vernalis","Vernal Hanging-Parrot (Indian Lorikeet)"
"Long-tailed Broadbill","Psarisomus dalhousiae","Long-tailed Broadbill"
"Gray-lored Broadbill","Serilophus rubropygius","Silver-breasted Broadbill (Grey-lored Broadbill)"
"Blue-naped Pitta","Hydrornis nipalensis","Blue-naped Pitta"
"Blue Pitta","Hydrornis cyaneus","Blue Pitta"
"Indian Pitta","Pitta brachyura","Indian Pitta"
"Blue-winged Pitta","Pitta moluccensis","Blue-winged Pitta"
"Nicobar Hooded Pitta","Pitta abbotti","Nicobar Hooded Pitta"
"Western Hooded Pitta","Pitta sordida","Western Hooded Pitta"
"Mangrove Pitta","Pitta megarhyncha","Mangrove Pitta"
"White-bellied Minivet","Pericrocotus erythropygius","White-bellied Minivet"
"Small Minivet","Pericrocotus cinnamomeus","Small Minivet"
"Gray-chinned Minivet","Pericrocotus solaris","Grey-chinned Minivet"
"Short-billed Minivet","Pericrocotus brevirostris","Short-billed Minivet"
"Long-tailed Minivet","Pericrocotus ethologus","Long-tailed Minivet"
"Orange Minivet","Pericrocotus flammeus","Orange Minivet"
"Scarlet Minivet","Pericrocotus speciosus","Scarlet Minivet"
"Ashy Minivet","Pericrocotus divaricatus","Ashy Minivet"
"Brown-rumped Minivet","Pericrocotus cantonensis","Brown-rumped Minivet"
"Rosy Minivet","Pericrocotus roseus","Rosy Minivet"
"Large Cuckooshrike","Coracina macei","Large Cuckooshrike"
"Andaman Cuckooshrike","Coracina dobsoni","Andaman Cuckooshrike"
"Pied Triller","Lalage nigra","Pied Triller"
"Black-winged Cuckooshrike","Lalage melaschistos","Black-winged Cuckooshrike"
"Black-headed Cuckooshrike","Lalage melanoptera","Black-headed Cuckooshrike"
"Black-headed Shrike-Babbler","Pteruthius rufiventer","Black-headed Shrike-Babbler"
"White-browed Shrike-Babbler","Pteruthius aeralatus","White-browed Shrike-Babbler"
"Green Shrike-Babbler","Pteruthius xanthochlorus","Green Shrike-Babbler"
"Black-eared Shrike-Babbler","Pteruthius melanotis","Black-eared Shrike-Babbler"
"Clicking Shrike-Babbler","Pteruthius intermedius","Clicking Shrike-Babbler"
"White-bellied Erpornis","Erpornis zantholeuca","White-bellied Erpornis (White-bellied Yuhina)"
"Mangrove Whistler","Pachycephala cinerea","Mangrove Whistler"
"Eurasian Golden Oriole","Oriolus oriolus","Eurasian Golden Oriole"
"Indian Golden Oriole","Oriolus kundoo","Indian Golden Oriole"
"Black-naped Oriole","Oriolus chinensis","Black-naped Oriole"
"Slender-billed Oriole","Oriolus tenuirostris","Slender-billed Oriole"
"Black-hooded Oriole","Oriolus xanthornus","Black-hooded Oriole"
"Maroon Oriole","Oriolus traillii","Maroon Oriole"
"Ashy Woodswallow","Artamus fuscus","Ashy Woodswallow"
"White-breasted Woodswallow","Artamus leucorynchus","White-breasted Woodswallow"
"Malabar Woodshrike","Tephrodornis sylvicola","Malabar Woodshrike"
"Large Woodshrike","Tephrodornis virgatus","Large Woodshrike"
"Common Woodshrike","Tephrodornis pondicerianus","Common Woodshrike"
"Bar-winged Flycatcher-shrike","Hemipus picatus","Bar-winged Flycatcher-shrike"
"Common Iora","Aegithina tiphia","Common Iora"
"White-tailed Iora","Aegithina nigrolutea","White-tailed Iora (Marshall's Iora)"
"White-throated Fantail","Rhipidura albicollis","White-throated Fantail"
"Spot-breasted Fantail","Rhipidura albogularis","Spot-breasted Fantail (White-spotted Fantail)"
"White-browed Fantail","Rhipidura aureola","White-browed Fantail"
"Black Drongo","Dicrurus macrocercus","Black Drongo"
"Ashy Drongo","Dicrurus leucophaeus","Ashy Drongo"
"White-bellied Drongo","Dicrurus caerulescens","White-bellied Drongo"
"Crow-billed Drongo","Dicrurus annectens","Crow-billed Drongo"
"Bronzed Drongo","Dicrurus aeneus","Bronzed Drongo"
"Lesser Racket-tailed Drongo","Dicrurus remifer","Lesser Racket-tailed Drongo"
"Hair-crested Drongo","Dicrurus hottentottus","Hair-crested Drongo (Spangled Drongo)"
"Andaman Drongo","Dicrurus andamanensis","Andaman Drongo"
"Greater Racket-tailed Drongo","Dicrurus paradiseus","Greater Racket-tailed Drongo"
"Black-naped Monarch","Hypothymis azurea","Black-naped Monarch"
"Amur Paradise-Flycatcher","Terpsiphone incei","Amur Paradise-Flycatcher"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis","Blyth's Paradise-Flycatcher"
"Indian Paradise-Flycatcher","Terpsiphone paradisi","Indian Paradise-Flycatcher"
"Red-backed Shrike","Lanius collurio","Red-backed Shrike"
"Red-tailed Shrike","Lanius phoenicuroides","Red-tailed Shrike"
"Isabelline Shrike","Lanius isabellinus","Isabelline Shrike"
"Brown Shrike","Lanius cristatus","Brown Shrike"
"Burmese Shrike","Lanius collurioides","Burmese Shrike"
"Bay-backed Shrike","Lanius vittatus","Bay-backed Shrike"
"Long-tailed Shrike","Lanius schach","Long-tailed Shrike"
"Gray-backed Shrike","Lanius tephronotus","Grey-backed Shrike"
"Great Gray Shrike","Lanius excubitor","Great Grey Shrike"
"Lesser Gray Shrike","Lanius minor","Lesser Grey Shrike"
"Masked Shrike","Lanius nubicus","Masked Shrike"
"Woodchat Shrike","Lanius senator","Woodchat Shrike"
"Eurasian Jay","Garrulus glandarius","Eurasian Jay"
"Black-headed Jay","Garrulus lanceolatus","Black-headed Jay"
"Yellow-billed Blue-Magpie","Urocissa flavirostris","Yellow-billed Blue Magpie"
"Red-billed Blue-Magpie","Urocissa erythroryncha","Red-billed Blue-Magpie"
"Common Green-Magpie","Cissa chinensis","Common Green-Magpie"
"Rufous Treepie","Dendrocitta vagabunda","Rufous Treepie"
"Gray Treepie","Dendrocitta formosae","Grey Treepie"
"White-bellied Treepie","Dendrocitta leucogastra","White-bellied Treepie"
"Collared Treepie","Dendrocitta frontalis","Collared Treepie"
"Andaman Treepie","Dendrocitta bayleii","Andaman Treepie"
"Black-rumped Magpie","Pica bottanensis","Black-rumped Magpie"
"Eurasian Magpie","Pica pica","Eurasian Magpie"
"Eurasian Nutcracker","Nucifraga caryocatactes","Eurasian Nutcracker (Spotted Nutcracker)"
"Kashmir Nutcracker","Nucifraga multipunctata","Kashmir Nutcracker (Large-spotted Nutcracker)"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","Red-billed Chough"
"Yellow-billed Chough","Pyrrhocorax graculus","Yellow-billed Chough (Alpine Chough)"
"Eurasian Jackdaw","Corvus monedula","Eurasian Jackdaw"
"House Crow","Corvus splendens","House Crow"
"Rook","Corvus frugilegus","Rook"
"Carrion Crow","Corvus corone","Carrion Crow"
"Hooded Crow","Corvus cornix","Hooded Crow"
"Large-billed Crow","Corvus macrorhynchos","Large-billed Crow"
"Pied Crow","Corvus albus","Pied Crow"
"Common Raven","Corvus corax","Common Raven (Northern Raven)"
